kanji,english,explanation,primitive
模,imitation,"Ah, but haven't modern _graveyards_ become a parody of their ancestors! The flowers are plastic, the writing on the stones is unimaginative and cold, and the whole thing looks more like a marble orchard than a right and proper graveyard. This kanji continues with the modernization trend by picturing **imitation** _trees_ in the _graveyard_. But of course, how convenient! They don't need pruning or fertilizing, their leaves don't fall, and they remain the same color all year long.",
漠,vague,"Think of the key word as having to do with something viewed through a haze, or in the twilight and from a distance, so that only its outlines are **vaguely** discernible. Now we are back again to the essence of the true _graveyard_. The _water_ may be taken as the sound of waves dashing up against the rocks or the dripping of moisture on cold rock - anything that helps you associate **vagueness** with the _graveyard_ and keep it distinct from the imitation we met in the last frame.",
墓,grave,"The mounds of _soil_ with crude wooden crosses set at their head suggests those boot-hill **graves** we all know from cowboy lore. The only odd thing about this kanji is that the _soil_ comes UNDER the _graveyard_ , rather than to its left, where we might expect. Just think of the bodies as ""lying under boot-hill"" if you have any trouble. By the way, this is not the first time, nor will it be the last, that we learn a kanji whose key word is the same, or almost the same, as a primitive element based on it, but whose shape differs somewhat. There is no cause to worry. By using the primitive in a variety of other characters, as we have done here, the confusion will be averted as a matter of course. In most cases, as here, the primitive element is taken from a part of the fuller kanji.",
暮,livelihood,Imagine that you have chosen the occupation of the keeper of a _graveyard_ and spend your _days_ tending to other's dead hood in order to make your means of **livelihood**.,
膜,membrane,"The _part of the body_ first affected by a stroll through a haunted _graveyard_ is the skin, which gets goose bumps. But we save the word  ""skin"" for another kanji, and use the odd word "" **membrane** "" here. Think of being so scared through and through that the goose flesh moves from the outside in, giving you goose **membranes**.",
苗,seedling,"To avoid confusion with the image of rice seedlings to appear later, we shall take these **seedlings** out of their agricultural setting in the _rice fields_ and into the frame of Brave New World surgery, where  ""ideas"" or ""values"" are being implanted into _brains_ like **seedlings** to insure a harmonious society. Then you need only imagine them taking root and breaking out into _flower_ right through the tops of the skulls of people walking around on the streets.",
兆,portent,"Here we have a pictograph of the back of a turtle, the two sloping vertical strokes representing the central ridge and the four short strokes the pattern. Think of reading turtle shells as a way to foretell the future, and in particular things that **portend** coming evils.","* When this character is used as a primitive in its full form, we keep the key-word sense of a _portent_. When it appears to the left in its abbreviated form (namely, the left half only), we shall give it the pictographic sense of a _turtle_."
桃,peach tree,"To associate the **peach tree** with the primitive for a _portent_ , recall the famous Japanese legend of Momotarō, the **Peach** Boy. It begins once upon a time with a fisherman and his wife who wanted badly to have a child, but none was born to them. Then one day the old man caught a giant **peach** , out of which jumped a healthy young lad whom they named **Peach** Boy. Though the boy was destined to perform heroic deeds, his birth also _portended_ great misfortune (how else could he become a hero?). Thus the _tree_ that is associated with a _portent_ of coming evil comes to be the **peach tree**.",
眺,stare,"To give someone the ""evil _eye_ "" is to **stare** at them, wishing them evil. The roots of the superstition are old and almost universal throughout the cultures of the world. In this kanji, too, being **stared** at is depicted as an _eye_ that _portends_ evil.",
犬,dog,"We know that the character for _large_ takes on the meaning of the _St. Bernard_ **dog** when used as a primitive. In this frame we finally see why. The _drop_ added as a fourth and final stroke means that we have to do with a normal-sized **dog** , which compared to the _St. Bernard_ is no more than a _drop_ in the kennel.","* As a primitive this character can take two meanings. In the form given here it will mean a very small dog (which we shall refer to as a _chihuahua_ for convenience sake). When it takes the form 犭 to the left of a character, we shall give it the meaning of _a pack of wild dogs_."
状,status quo,"Did you ever hear of the _turtle_ who fell madly in love with a _chihuahua_ but could not have her because their two families did not like the idea of their children intermarrying? Like all classic stories of ill-fated love, this one shows how the young upset the **status quo** with an emotion older and more powerful than anything their elders have devised to counter it: blind love.",
黙,silence,"Oddly enough, the character for **silence** shows us a _black chihuahua_. Actually, the cute little critter's name is Darkness, as I am sure you remember from the famous song about **silence** that begins,  ""Hello, Darkness, my old friend...."" Note how the four dots reach all the way across the bottom of the character.",
然,sort of thing,"The key word in this frame refers to a suffix that gives the word before it an adjectival quality, hence we refer to it as "" **sort of thing**. "" Reverting to the time when dog was more widely eaten than it is today (See frame 127), we see here a large cauldron boiling over an _oven flame_ with the _flesh_ of a _chihuahua_ being thrown into the whole concoction to make it into a  ""hot- diggity, dog-diggity"" **sort of thing**.",
荻,reed,"You've no doubt seen cattails, those swamp **reeds** with a furry _flower_ to them like the tail of a cat. This might just turn out to be a good way to get rid of a troublesome _pack of wild dogs_ : lure them into a swamp of these **reeds** with the cattail _flowers_ and then set _fire_ to the swamp. Take care to focus on the _flower_ rather than the  ""cattail"" to avoid confusion with frame 259 below.",
狩,hunt,"One of the worst problems you have to face when you go **hunting** is to _guard_ your take from the _wild dogs_. If you imagine yourself failing at the task, you will probably have a stronger image than if you try to picture yourself succeeding.",
猫,cat,"Knowing how much dogs love to chase **cats** , picture a _pack of wild dogs_ planting  "" **cat** - _seedlings_ ,"" watering them, and fertilizing them until they can be harvested as a crop of **cats** for them to chase and torment. If you begin from the key word and think of a  ""crop of **cats** ,"" you will not confuse this story with the apparently similar story of two frames ago.",
牛,cow,"Can you the ""doodle"" of a **cow** that has just been run over by a steamroller? The small dot in the first stroke shows its head turned to one side, and the next two strokes, the four legs.","* As a primitive, the same sense of _cow_ is kept. Note only that when it is placed OVER another element, its tail is cut off. In this case, and when the element appears on the left, the stroke order is changed."
特,special,"Despite the strong phonetic similarity, there will be no problem keeping the key word **special** distinct from the character we met earlier for _specialty_ (Frame 47), since the latter has immediate connotations lacking in this kanji. Anyway, we shall let the key word of this frame refer to something in a **special** class all its own - like the sacred _cows_ of India that wander freely without fear of being butchered and ground into hamburger. Even though the practice is originally a Hindu one, and in any case no longer followed among the majority of Japanese Buddhist monks, the Buddha's refusal to take the life of any sentient being makes it only fitting that the _cows_ should be placed on the sacred grounds of a _Buddhist temple_ in this kanji.",
告,revelation,"Folklore throughout the world tells us of talking animals who show a wisdom superior to that of human beings, and that same tradition has found its way into television shows and cartoons right into our own century. This character depicts **revelation** through the _mouth_ of a _cow_ , suggesting oracular utterances about truths hidden to human intelligence.",
先,before,"Take this key word in its physical, not its temporal, sense (even though it refers to both). If you have a _cow_ with _human legs_ , as the elements show us here, it can only be because you have two people in a _cow_ -suit. I always thought I'd prefer to be the one standing **before** , rather than the one that holds up the rear and becomes the ""butt"" of everyone's laughter.",
洗,wash,"This character is so logical that one is tempted to let the elements speak for themselves: _water_ . . . _before_. But we have already decided we will not allow such rationalism to creep into our stories. Not even this once. Instead, let us change the character from the Peanuts comic strip called  ""Pigpen,"" who is always preceded by a little cloud of dust and grime, and rename him "" **Wash** -Out."" Everywhere he walks, a spray of _water_ goes _before_ him to sanitize everything he touches.",
介,jammed in,"The idea of something getting **jammed into** something else is depicted here by having a _walking stick_ get **jammed into** an _umbrella_ frame by someone shoving it into an already occupied slot in the _umbrella_ stand at the door. First notice the vertical strokes: on the left is the curved umbrella handle, and on the right the straight _walking stick_. Now try to imagine the two parties tugging at their respective properties like two kids on a wishbone, creating a scene at the entrance of an elegant restaurant.",
界,world,"As the **world** gets _jammed_ with more and more people, there is less and less space. Imagine yourself taking an air flight over a **world** so densely populated that every bit of it is sectioned off like a gigantic checkerboard (the _rice fields_ ). If you look closely at the character, you should be able to see a kind of movement taking place as still more is being **jammed into** that already narrow space.",
茶,tea,"As everyone knows, **tea** is made from **tea** leaves. But the **tea** plant itself has its own _flowers_ , which can be quite beautiful and add a special flavor to the _tea_ , as the Chinese found out already over 4,598 years ago. With the image of a terrace of _flowering_ **tea** bushes in mind, picture a number of brightly painted and very l-o-n-g _wooden poles_ (Frame 207) placed here and there in their midst, with a tiny _umbrella_ at the top to shade the delicate-tasting **tea** _flowers_.",
脊,spinal column,"The **spinal column** has sprouted out of the _flesh_ of your back into an _umbrella_ that you always have with you, rain or shine. The pair of 2s on each side are the  ""ribs"" of the _umbrella_. Take care to keep your image of the key word distinct from that for spine (Frame 24).",
合,fit,"The kanji for **fit** reads literally, top to bottom, as a _meeting_ of _mouths_  \- which is a rather descriptive way of speaking of a romantic kiss. We all know what happens when there is no meeting of minds and when people's ideas don't **fit**  with one another. But this kanji invites us to imagine what would happened to the romance of a certain unfortunate couple whose _mouths_ didn't **fit**.",
塔,pagoda,"On the left we see a mound of _dirt_ , and to the right _flowers_ made to _fit_ together. The two sides combine to create a great **pagoda** made of _dirt_ , with _flowers_ by the tens of thousands _fitted_ together for the roofing of each of the layers. Be sure to put yourself in the scene and _fit_ a few of the _flowers_ in place yourself so that the image works its way into memory with full force.",
王,king,See what you can do to come up with a pictograph of a **king's** scepter here that suits your own idea of what it should look like. You might even begin with the basic element for _I beam_ and then try to fit the remaining third stroke in.,"* As a primitive, this can mean either _king_ or _scepter_ , but it will usually be taken to mean _ball,_  as an abbreviation of the character in the next frame."
玉,jewel,"Note the _drop_ here in the king's _scepter_ , which is exactly what you would expect it to be: a precious **jewel** handed down from of old as a symbol of his wealth and power.","* As a primitive, we can use this to mean either _jewel_ or _ball_. When it appears anywhere other than on the left side of a kanji, it takes the same shape as here. On the left, it will be lacking the final stroke, making it the same as the character in the previous frame."
宝,treasure,"Every _house_ has its **treasure** , as every thief knows only too well. While the things we **treasure** most are usually of sentimental value, we take the original sense of the term **treasure** here and make it refer to _jewels_ kept in one's _house_.",
珠,pearl,"Take care to keep the meaning of this kanji distinct from that for _jewel_. Think of the most enormous **pearl** you have ever seen, a great _vermilion_ -colored _ball_ sitting on your ring and making it extremely difficult to move without falling over from the weight of the thing.",
現,present,"Do not think of a ""gift"" here, but of the **present** moment, as distinct from the future and the past. The kanji gives us a _ball_ in which we see the **present**  \- obviously a crystal _ball_ that enables us to _see_ things going on at the **present** in faraway places.",
玩,toy,"If, at some aboriginal level, **Toys** Я Us, then the archetypal _ball_ must have been there at the _beginning_ , before evolving into beach balls, ping- pong balls, rugby balls, and marbles.",
狂,lunatic,"A **lunatic** is literally one driven mad by the light of the moon, and the most famous of the  "" **looneys** "" are the legendary lycanthropes or ""wolfmen."" Sometimes the transformation is only a temporary phenomenon, sometimes it is permanent. In the latter case, the poor chap takes off on all fours to live with the beasts. To remember this kanji, imagine one of these lycanthropes going **looney** and setting himself up as _king_ of a _pack of wild dogs_ that roams about and terrorizes innocent suburban communities.",
旺,effulgent,"The radiant, **effulgent** splendor of he _sun_ makes it _king_ of all the planets and other stars. Just to be sure you don't take this too abstractly, picture the _sun_ seated on a throne, flourishing its _scepter_ this way and that.",
皇,emperor,"An **emperor** , as we all know, is a ruler - something like a _king_ but higher in status. The _white bird_ perched above the _king_ , elevating him to **imperial** heights, is the messenger he sends back and forth to the gods to request advice and special favors, something that _white birds_ have long done in folklore throughout the world.",
呈,display,"The trick to remembering this character lies in associating the key word with the line from the nursery rhyme about 4 and 20 blackbirds baked in a pie: ""Wasn't this a dainty dish to set before the _king_? "" If we think of **display** in terms of that famous line, and the _king_ with his head thrown back and his _mouth_ wide open as 4 and 20 blackbirds fly in one after the other, we shall have satisfied both the elements and their position.",
全,whole,"**Wholeness** suggests physical and spiritual health,  ""having your act together."" The kanji-image for **wholeness** depicts being  "" _king_ under your own _umbrella_ ,"" that is, giving order to your own life. I know it sounds terribly abstract, but what could be more abstract than the word **whole**?",
栓,plug,"Here we think of **plug** in the sense of a cork or stopper used to seal the mouth of a bottle, water faucet, or something with liquid running out of it. Forgetting the abstract picture of the former frame, let us work with all the primitive units: _tree_ . . . _umbrella_ . . . _ball_. Imagine a _tree_ with a faucet in the side out of which tennis _balls_ are flowing, bouncing all over the ground by the hundreds. You fight your way up to it and shove your giant beach _umbrella_ into the _tree_ to **plug** it up.",
理,logic,"We first referred to this character back in frame 185, to which you might want to return to have a peek. The image of **logic** we are given is something like a central _jewel_ in a _computer_ , like the _jewels_ in old clocks that keep them running smoothly. Try to picture yourself making your way through all the rams and roms and approaching this shining _jewel_ , a chorus of voice sand a blast of trumpets in the background heralding the great seat of all- knowing **logic**.",
主,lord,"A man's home is his castle, goes the proverb from an age where it was the male who was **lord** of the household. Fundamentally, it means only that every one of us is a bit (or _drop_ ) of a _king_ in our own environment. As for the positioning of the elements, if you take care to  ""read off"" the primitives in this way, you won't end up putting the _drop_ down below, where it turns the kanji into a jewel.","* As a primitive element, we set the key word aside entirely and take it as a pictograph of a solid brass _candlestick_ (with the drop representing the flame at the top)."
注,pour,"Picture **pouring** water from a lighted _candlestick_. What could be more ridiculous, or simpler, as a way to recall this kanji?",
柱,pillar,The **pillar** referred to here is the _wooden_ beam that stands at the entrance to a traditional Japanese house. Carve it in imagination into the shape of a gigantic _candlestick_ and your work is done.,
金,gold,"If this were not one of the most common characters you will ever have to write, I would apologize for having to give the explanation that follows. Anyway, we want to depict bars of **gold** bullion with an _umbrella_ overhead to shade them from the heat (and perhaps to hide them as well). The bullion is made by melting down all the _scepters_ of the kingdom, _drop_ by _drop_ , and shaping them into bars.","* As a primitive, it means not only _gold_ but any _metal_ at all."
銑,pig iron,"**Pig iron** refers to iron in the crude form in which it emerges from the smelting furnaces. Of all the various forms _metal_ can take, this one shows us _metal_ _before_ it has been refined. Imagine two photographs labeled  "" _before_ "" and ""after"" to show the process.",
鉢,bowl,"Let **bowl** suggest a large and heavy _golden_ **bowl** into which you are throwing all the _books_ you own to mash them into pulp, for some outrageous reason you will have to think up yourself.",
銅,copper,"Picture an order of _monks_ serving as chaplains for the police force. Their special habit, made of protective _metal_ , is distinguished by a row of **copper** buttons just like the  "" **cops** "" they serve.",
釣,angling,"The character we learned for _fishing_ (Frame 184) refers to the professional, net-casting industry, while the **angling** of this character refers to the sport. The odd thing is that your **angling** rod is a _golden_ _ladle_ which you are using to scoop _gold_ fish out of a river.",
針,needle,"In frame 10 we referred ahead to this full character from which the primitive for _needle_ (on the right) derives. Since we already expect that **needles** are made of _metal_ , let us picture a set of solid _gold_ darning **needles** to complete the kanji.",
銘,inscription,Take **inscription** in the sense of the _name_ you ask the jeweler to carve on a _gold_ bracelet or inside a _gold_ ring to identify its owner or communicate some sentimental message. It will help if you can recall the first time you had this done and the feelings you had at the time.,
鎮,tranquillize,"The first lie-detector machines of the twentieth century worked by wiring pieces of _metal_ to the body to measure the amount of sweat produced when questions were asked. It was discovered that nervousness produced more sweat, indicating subconscious reactions when the _truth_ was getting too close for comfort. Nowadays, people can take drugs that **tranquillize** them in such a way as to neutralize the effect of the device, which is why other means have had to be developed.",
道,road-way,"The key word carries both the sense of a **road** for transit and a **way** or method of doing something, but the former is better for forming an image. The primitives read: the _neck_ of a _road_. Think of a crowded **road-way** where traffic has come to a standstill - what we commonly refer to as a  ""bottle _neck_. """,
導,guidance,"When we accept someone's **guidance** , we permit ourselves to be _glued_ to a certain _road_ or _way_ of doing something, and try to  ""stick"" to it.",
辻,crossing,"Take the first two strokes in the sense we gave them back in frame 10, as the pictograph of a _cross_ , and set it on a _road_ to create a  "" **crossing**. """,
迅,swift,"Here we see a _crossing_ in the form of a barbed _fishhook_ , suggesting a **swifter** alternate not only to the roundabouts used in Europe but also to the  ""cloverleaf"" design used on superhighways in the United States.",
造,create,Think of **creating** as making something out of nothing. Then recall how the _way_ of _revelation_ laid out in the Bible begins with the story of how God **created** the world out of a dark and chaotic nothingness.,
迫,urge,"To **urge** someone to do something, you make the _way_ as appealing as possible, perhaps even _white_ washing it a bit.",
逃,escape,"When **escaping** from something or someone, one always feels as if one is not going fast enough, like a _turtle_ on an expressway. (Since the _turtle_ is on the _road_ and not on the left, it can keep its full kanji shape as given in frame 250.)",
辺,environs,"To keep the **environs** clean and safe, you could cement _daggers_  in the _road_ , blades pointed upwards, so that no polluting traffic could pass by. You could, if you were an ecologically-minded terrorist.",
巡,patrol,A virtual  _flood_ of motorcycle police washing down a _road_ is this kanji's image for a **patrol**.,
車,car,"You may keep the whole range of connotations for this keyword, **car** , provided it does not interfere with the pictograph. Look for the front and back wheels (the first and last horizontal strokes) and the seat in the carriage in the middle. As an exercise, try to isolate the primitives on your own and make a story out of them.","* _Car_ , _cart_ , _wagon_ , and _vehicle_ may all be used as primitive meanings."
連,take along,What you are meant to **take along** in this kanji are not things but people. The image of the _car_ on the _road_ should ground your image for picking up your friends to _take_ them _along_ to wherever you are going.,
軌,rut,Combine the primary and secondary meanings of this keyword to form your story. Begin with the _car_ whose tires get caught in a **rut** and spin without going anywhere. Then go onto the _baseball team_ who can't win a game because it has fallen into a **rut** of losing.,
輸,transport,"On the left we see a _vehicle_ used for **transport**. On the right, we see a new tangle of elements that need sorting out. The first three strokes, you will remember, are the primitive for _meeting_. Below it we see the elements for _flesh_ and _saber_ , which combine to create a compound element for a _butcher_ and his trade. Together they give us the image of a  ""trucker's convoy.""",
喩,metaphor,People who try to sound literary often end up butchering the language. Here we see a _meeting_ of _butchers_ whose _mouths_ are producing the **metaphors**.,
前,in front,"We waited to introduce this character until now, even though the pieces have been available for some time, because it helps to reinforce the odd kanji of the last frame. Picture the _butcher_ hacking away with his knife at a slab of meat on his table with a pair of ram's _horns_ placed **in front** of him (or on his head, if you prefer). There is no need to worry about confusing this kanji with that for _before_ (Frame 263), since it will not appear as a primitive in any other character used in this book.",
煎,roast,"Think of **roasting** the guest of honor at a party - literally, in _front_ of an _oven-fire_.",
各,each,"Suum cuique goes the popular Latin proverb. A certain disease of the English language makes it almost impossible to translate the phrase without gender bias. In any event, here we see someone walking with his/her _mouth_ between his/her _walking legs_ , giving us an image of ""To **each** his/her own. ""","* The sense of the proverb should help when using this kanji as a primitive, otherwise, reduce it to its original elements. But do not associate it in any way with the word ""every,"" which we shall meet later in another context."
格,status,"If you can imagine _trees_ as **status** symbols (as they might well be for those living in Japan's congested cities, where greenery has become something of a luxury item), then _each_ might be aiming to have his/her own _tree_ , just to keep up with the Suzukis.",
賂,graft,"To those who believe in the inevitability of **graft** in government, everything has a price - or as this character has it, to _each_ office its outlay of _shells_.",
略,abbreviation,"_Each field_ has its own **abbreviations** (chemistry, philosophy, sports, etc.). Needless to say, the  ""stronger"" primitive - thatis to say, the simpler and more often used one - takes the dominant position on the left, even though the story would read them off the other way around.",
客,guest,"When you are a **guest** in a courteous town, _each house_ hold has its own way of welcoming you, and _each house_ becomes your home.",
額,forehead,"As Miss Manners will be the first to tell you, out of respect, one does not look straight into the eyes of one's _guests_ , but focus on the top button of their collar. Here, however, you are told to look above the eyes to the **forehead** of your _guest_.",
夏,summer,"In the **summer** , fatigued by the heat, your _head_ hangs down nearly as far as your _walking legs_ , or rather, your ""dragging legs."" Note how the _walking legs_ (instead of  ""animal legs"") are the only thing that distinguishes this character from that for _page_ (Frame 64).",
処,dispose,"Both the stretching out of the _walking legs_ and the little bit of _wind_ tucked in on the right suggest using one's legs to kick something out of the way, or **dispose** of it.",
条,twig,"Geppetto made _walking legs_ for his little Pinocchio from two **twigs** of a _tree_ , giving him a set of "" **twiggy** "" shanks.",
落,fall,"When _water_ **falls** , it splats and splashes, when _flower_ petals **fall** , they float gently in the breeze. To _each_ thing its own way of **falling**.",
冗,superfluous,"Picture a _weather vane_ beneath a regal _crown_ , spinning round and round. It is not only **superfluous** but makes a perfect ass out of the one who wears it.",
冥,Hades,"The key word in this frame refers to the underworld, the world of the dead. By way of the classic Greek association, it is also used for the ""dwarf planet"" Pluto. Since no one knows precisely when this part of the cosmos was finished, we may imagine it as the _crowning_ deed of _day six_ of the creation.",
軍,army,"The _crowned vehicle_ depicted here is a  "" _chariot_ ,"" symbol of an **army**.",* Used as a primitive this kanji means only _chariot_.
輝,radiance,Take advantage of the first syllable of the key word to think of the _ray_ of light to the left. Now add the glittering _chariot_ that is emitting those _rays_ and you have **radiance**.,
運,carry,"A long string of ""sweet"" _chariots_ ""swinging low"" to our _roads_ is a sure sign that the Lord is  ""comin' for to **carry** "" someone home.",
冠,crown,"By having the **crown** pass from one age to the next, a people keeps itself _glued_ to its _beginnings_.",
夢,dream,"To have a **dream** after going to bed is really the _crown_ to a perfect _evening_. The _flower_ petals over the _eyes_ (instead of the  ""sand"" that Westerners are used to finding there when they awake in the morning) only confirms the image of a pleasant **dream** suggested by the rest of this rather complex kanji.",
坑,pit,A _whirlwind_ begins to dig its way into the _soil_ like a drill until it makes a deep **pit**.,
高,tall,"Recalling an image from frame 195, first see the _mouth_ under the extraterrestrial's glass _hood_ , and then the _mouth_ under the _top hat_ of one of his mates who has tried on the strange earthling's headgear only to find that it makes him look much, much **taller** than everyone else.","* As a primitive, this character keeps its sense of _tall_ and its position at the top of other primitives, but its writing is abbreviated to the first 5 strokes."
享,receive,"_Tall children_ **receive** more attention. _Tall children_ grow up to make better wide **receivers**. Take your pick, depending on whether you prefer child psychology or American football. At any rate, be sure you have some particular _tall child_ in mind, someone who really was outstanding and always attracting attention, because he or she will come in handy in the next two frames.",
塾,cram school,"**Cram schools** are after-hours educational institutions where kids can do concentrated preparing for their coming entrance examinations or drill what they missed during regular class hours. The exception are the _tall children_ who are out on the school _grounds_ practicing sports, and the _fat_ ones who are out there burning off calories. So this character depicts those who do NOT go to the **cram schools** , rather than those who do.",
熟,mellow,The _tall_ and _fat children_ from the last frame are here cast into a cauldron over an _oven flame_ until they have sufficiently **mellowed** that they can return to the normal life of a student.,
亭,pavilion,"Think of all the **pavilions** at County Fairs or World Expos you have wandered into or seen advertised in the media, and you will no doubt see rising up among them the towering _tall crowned nail_ (the _crown_ being a revolving restaurant) - that architectural monstrosity that has become a symbol of science and technology at such events.",
京,capital,When we think of a **capital**  city today we think of _tall_  skyscrapers dwarfing the endless swarms of _little_  folk scurrying here and there about their business.,
涼,refreshing,"Since few things are as **refreshing** on a warm day as a cool shower (the _water_ ), here we picture an entire _capital_ city treating itself to one, and in full view of everyone.",
景,scenery,"**Scenery** is depicted as a _sun_ rising over a _capital_  city, which is a bit of natural **scenery**  the city dwellers themselves rarely get to see!",
鯨,whale,"The **whale** swallows a whole school of fish, who turn their new abode into a proper little _fish-capital_.",
舎,cottage,A _lidded crock_ with an _umbrella_ overhead gives us a mixture of the modern and the nostalgic in this design for a **cottage**.,
周,circumference,"Look more closely at your _lidded crock_ and you will see little ruler marks along its bottom edge. This is so you can use it to calculate the **circumference** of your _motorcycle helmet_ : just begin at a fixed point and turn the _lidded crock_ around and around, keeping it flush against the side of the _helmet_ , until you come back to your starting point. If you kept track of how many turns and part-turns your _lidded crock_ made, you now know the **circumference**.","* As a primitive, this character can take the added significance of a _lap_."
週,week,"Picture a circular _road_ with 7 markers on it, one for each day of the **week**. When you have walked one complete _lap_ on this _road_ , you shall have completed one **week**.",
士,gentleman,"The shape of this kanji, slightly differing from that for _soil_ by virtue of its shorter final stroke, hints at a broad-shouldered, slender-waisted warrior standing at attention. When feudalism collapsed, these warriors became Japan's **gentlemen**.","* The primitive meaning reverts to the more colorful image of the _samurai_ , Japan's warrior class."
吉,good luck,"Here we see a _samurai_ standing on a street with an open _mouth_ , which people walk up to and look down deep inside of for **good luck**.","* As a primitive, we shall take this shape to mean an _aerosol can_ , from the _mouth_ and the very tightly-fitting _lid_ (note how it differs here from the _lidded crock_ )."
壮,robust,**Robust** is seen as a _turtle_ turned _samurai_.,
荘,villa,"The **villa** pictured here is filled with exotic _flowers_ at every turn, and has a pair of _turtle-samurai_ standing before its gates.",
売,sell,"A _samurai_ , out of a job, is going door-to-door **selling** little windup _crowns_ with _human legs_ that run around on the floor looking like headless monarchs.",
学,study,"The _child_ in the little red _schoolhouse_ is there for one reason only: to **study**. Anyone who has gone through the schooling system knows well enough that **study** is one thing and _learning_ quite another again. In the kanji, too, the character for _learning  _(Frame 616) has nothing to do with the _schoolhouse_.",
覚,memorize,"The idea of **memorizing** things is easily related to the _schoolhouse_ , and since we have been at it for more than a hundred pages in this book, the idea that **memorizing** involves _seeing_ things that are not really there should make it easy to put the two elements together.",
栄,flourish,"The botanical connotations of the word **flourish** (to bud and burst into bloom, much as a _tree_ does) are part of the ideal of the _schoolhouse_ as well.",
書,write,"The sage talks rapidly with his _tongue wagging in his mouth_ , while the _brush_ of the scribe runs apace to **write** down the master 'swords.",
津,haven,"Seeing the tiny boats of poor mortals tossed about in a stormy sea like so many corks, the All-Merciful took its _brush_ and drew little inlets of _water_ where the hapless creatures might seek shelter. And so it is that we have **havens**.",
牧,breed,"When it is time to **breed** new cattle, the bull is usually willing but the _cow_ is often not. Thus the _taskmaster_ to the right forces the _cow_ into a compromising position, so to speak, so that she and her mate can **breed**.",
攻,aggression,"The special _craft_ of successful _taskmasters_ is their ability to remain constantly on the **aggressive** , never allowing their underlings a moment to ponder a counter- **aggression** of their own.",
敗,failure,The _taskmaster_ is acknowledging the **failure** of a _clam_ to make the grade in some marine school or other.,
枚,a sheet of,"English counts thin, flat objects, like bed linen and paper, in **sheets**. The kanji does this with a _taskmaster_ whipping a _tree_ into producing **sheets** against its will.",
故,happenstance,"Call it fate or providence or plain old Lady Luck, **happenstance** is the _oldest taskmaster_ we know. It nearly always has its way.",
敬,awe,"Standing in **awe** of someone, you get self-conscious and may try to speak in _flowery phrases_ out of veneration or fear. The _taskmaster_ at the right is drilling you in the practice of your  ""honorifics.""",
言,say,"Of all the things we can do with our _mouths_ , speech is the one that requires the greatest distinctness and clarity. Hence the kanji for **say** has four little sound-waves, indicating the complexity of the achievement.","* This kanji, which appears often as a primitive, can mean _saying_ , _speech_ , or _words_ , depending on which is most useful."
警,admonish,"Here you have a perfect example of how an apparently impossible snarl of strokes becomes a snap to learn once you know its elements. The idea of being **admonished** for something already sets up a superior-inferior relationship between you and the person you are supposed to stand in _awe_ of. While you are restricted to answering in honorifics, the superior can use straightforward and ordinary _words_.",
計,plot,_Words_ and a meter's _needle_ combine to form the sense of **plot** : to talk over plans and to calculate a course of action.,
詮,elucidate,"Think of **elucidating** as presenting something in _whole words_ , as distinct from broken fragmented sentences.",
獄,prison,"Although we did not make note of it at the time, the kanji for _dog_ is also a low-grade term for a spy. And later (Frame 1517) we will meet another association of criminals with _dogs_. The **prison** here depicts a _pack of wild dogs_ (the long-timers and hardened criminals) into which the poor little c _hihuahua_ (first offender) has been cast. The only thing he has to protect himself against the pack are his shrill and frightened _words_.",
訂,revise,"After completing the first draft, you **revise** it by _nailing_ down your _words_ and  ""hammering"" them into shape.",
訃,obituary,"The _words_ of this **obituary** work like a _magic wand_ , conjuring up the desceased.",
討,chastise,_Words_ spoken to **chastise** us stick to us like _glue_ in a way no other _words_ can.,
訓,instruction,"The personalism connoted by the word **instruction** , as opposed to ""teaching"" or ""discipline,"" suits the picture here of _words_ guiding one's progress like the gentle flowing of a _stream_. Even the etymology of the word **instruction** suggests the sense of  ""pouring into"".",
詔,imperial edict,"The **imperial edict** , spoken with the force of unquestionable law, is made up of _words_ intended to _seduce_ the masses - be it through fear or respect - to follow obediently.",
詰,packed,"A piece of writing that is pregnant with meaning and needs to be reread several times to be understood we refer to colloquially as "" **packed**. "" The character sees the _words_ as sealed tightly inside an _aerosol can_.",
話,tale,"That the _words_ of the _tongue_ should come to mean a **tale** is clear from the etymology: a **_tale_** is something  ""talked,"" not something read from a book.",
詠,recitation,Listening to the _words_ of poets **reciting** their poetry is like being transported for a moment into _eternity_ where the rules of everyday life have been suspended.,
詩,poem,"Since silence is treasured so highly at a _Buddhist temple_ the _words_ spoken there must be well-chosen. Perhaps this is why the records of the monks often read to us like **poems**. Before going on, back up a frame and make sure you have kept **poem** and _recitation_ distinct in your mind.",
語,word,"Whereas the character for _say_ focused on the actual talking, that for **words** stresses the fact that although it is _I_ who _say_ them, the **words** of a language are not my own. You can see the clear distinction between _I_ and **words** just by looking at the kanji.",
読,read,"In the age of advertising, most _words_ we **read** are out to _sell_ some product or point of view.",
調,tune,A complete **tune** is composed not only of a succession of notes but also of one _lap_ of the _words_ that go with it.,
談,discuss,"In almost every attempt to **discuss** an issue, the fervor of one's convictions comes to the surface and creates an _inflammation_ of _words_ (if you will, the  ""cuss"" in **discuss** ).",
諾,consent,"The _words_ of the _young_ do not have legal validity unless backed up by ""parental **consent**. """,
